Block,Light (u mol photons m/s/),NH4Cl (mg/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),StDev (controls),StDev / Average (%),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
1,80,Control,0,1,1,0.01734,0.03794,0.542962572,0.533758674,0.013016278,2.44%,-0.017243557,1.11E-16
1,80,Control,0,1,2,0.01762,0.03706,0.524554776,NA,NA,NA,0.017243557,NA
1,80,Control,0.3,1,1,0.01246,0.027,0.538518519,0.52391542,0.0206519,3.94%,-0.027873008,5.55E-17
1,80,Control,0.3,1,2,0.0137,0.02792,0.509312321,NA,NA,NA,0.027873008,NA
1,80,Control,2,1,1,0.0096,0.0198,0.515151515,0.502768065,0.017512843,3.48%,-0.024630542,1.11E-16
1,80,Control,2,1,2,0.0106,0.0208,0.490384615,NA,NA,NA,0.024630542,NA
1,80,Control,24,1,1,0.0295,0.04678,0.369388628,0.362791659,0.009329523,2.57%,-0.018183904,-5.55E-17
1,80,Control,24,1,2,0.0291,0.0452,0.35619469,NA,NA,NA,0.018183904,NA
1,80,Control,48,1,1,0.0655,0.10462,0.37392468,0.369593126,0.006125741,1.66%,-0.011719789,-1.11E-16
1,80,Control,48,1,2,0.06746,0.10628,0.365261573,NA,NA,NA,0.011719789,NA
1,80,Control,72,1,1,0.09256,0.15,0.382933333,0.380528155,0.003401435,0.89%,-0.006320631,0
1,80,Control,72,1,2,0.09608,0.1545,0.378122977,NA,NA,NA,0.006320631,NA
1,80,267,0,1,1,0.01744,0.03688,0.527114967,NA,NA,NA,0.012447024,-0.003018012
1,80,267,0,1,2,0.0136,0.0298,0.543624161,NA,NA,NA,-0.018483047,NA
1,80,267,0.3,1,1,0.0122,0.02264,0.461130742,NA,NA,NA,0.11983743,0.104542387
1,80,267,0.3,1,2,0.0103,0.0197,0.47715736,NA,NA,NA,0.089247343,NA
1,80,267,2,1,1,0.0103,0.0195,0.471794872,NA,NA,NA,0.061605332,0.063774933
1,80,267,2,1,2,0.0096,0.0181,0.46961326,NA,NA,NA,0.065944534,NA
1,80,267,24,1,1,0.0315,0.04608,0.31640625,NA,NA,NA,0.127856878,0.148919455
1,80,267,24,1,2,0.0311,0.0445,0.301123596,NA,NA,NA,0.169982032,NA
1,80,267,48,1,1,0.07216,0.09186,0.214456782,NA,NA,NA,0.419748998,0.419507257
1,80,267,48,1,2,0.05774,0.07352,0.214635473,NA,NA,NA,0.419265517,NA
1,80,267,72,1,1,0.08618,0.11138,0.226252469,NA,NA,NA,0.405425155,0.400579717
1,80,267,72,1,2,0.07716,0.1002,0.22994012,NA,NA,NA,0.39573428,NA
1,80,26.7,0,1,1,0.01754,0.03588,0.511148272,NA,NA,NA,0.042360721,0.019207273
1,80,26.7,0,1,2,0.0176,0.03792,0.535864979,NA,NA,NA,-0.003946174,NA
1,80,26.7,0.3,1,1,0.011,0.02272,0.51584507,NA,NA,NA,0.015403916,0.013446344
1,80,26.7,0.3,1,2,0.0132,0.02738,0.517896275,NA,NA,NA,0.011488772,NA
1,80,26.7,2,1,1,0.0086,0.01764,0.512471655,NA,NA,NA,-0.019300331,0.017557439
1,80,26.7,2,1,2,0.0096,0.0183,0.475409836,NA,NA,NA,0.054415209,NA
1,80,26.7,24,1,1,0.0317,0.0445,0.287640449,NA,NA,NA,0.207147016,0.189711257
1,80,26.7,24,1,2,0.0336,0.04802,0.300291545,NA,NA,NA,0.172275498,NA
1,80,26.7,48,1,1,0.07922,0.12382,0.360200291,NA,NA,NA,0.025413989,0.032041051
1,80,26.7,48,1,2,0.09254,0.14354,0.355301658,NA,NA,NA,0.038668112,NA
1,80,26.7,72,1,1,0.10068,0.1598,0.369962453,NA,NA,NA,0.027765888,0.027152016
1,80,26.7,72,1,2,0.10228,0.16246,0.370429644,NA,NA,NA,0.026538144,NA
1,80,2.67,0,1,1,0.0218,0.0458,0.524017467,NA,NA,NA,0.018250208,0.005017716
1,80,2.67,0,1,2,0.0201,0.04352,0.538143382,NA,NA,NA,-0.008214776,NA
1,80,2.67,0.3,1,1,0.0115,0.026,0.557692308,NA,NA,NA,-0.064470116,-0.070282775
1,80,2.67,0.3,1,2,0.0119,0.02728,0.563782991,NA,NA,NA,-0.076095434,NA
1,80,2.67,2,1,1,0.0111,0.0244,0.545081967,NA,NA,NA,-0.084161873,-0.078820667
1,80,2.67,2,1,2,0.0102,0.02216,0.539711191,NA,NA,NA,-0.07347946,NA
1,80,2.67,24,1,1,0.0351,0.0554,0.366425993,NA,NA,NA,-0.010017689,-0.002887499
1,80,2.67,24,1,2,0.03264,0.0511,0.361252446,NA,NA,NA,0.004242691,NA
1,80,2.67,48,1,1,0.07738,0.11806,0.344570557,NA,NA,NA,0.067703015,0.066135889
1,80,2.67,48,1,2,0.0841,0.12854,0.345728956,NA,NA,NA,0.064568762,NA
