Block,Light (u mol photons m/s/),Diuron (ug/L),Time (hours),Replicate,Pseudo-replicate,Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
1,80,Control,0,1,1,-0.033351558,5.55E-17
1,80,Control,0,1,2,0.033351558,
1,80,Control,0.3,1,1,-0.027539477,5.55E-17
1,80,Control,0.3,1,2,0.027539477,
1,80,Control,2,1,1,-0.030151493,-1.11E-16
1,80,Control,2,1,2,0.030151493,
1,80,Control,24,1,1,-0.009496225,-1.11E-16
1,80,Control,24,1,2,0.009496225,
1,80,Control,48,1,1,0.010895065,1.11E-16
1,80,Control,48,1,2,-0.010895065,
1,80,Control,72,1,1,0.003091693,5.55E-17
1,80,Control,72,1,2,-0.003091693,
1,80,MeOH,0,1,1,-0.032039366,-0.006678455
1,80,MeOH,0,1,2,0.018682456,
1,80,MeOH,0.3,1,1,-0.026339081,-0.005613382
1,80,MeOH,0.3,1,2,0.015112317,
1,80,MeOH,2,1,1,0.004863516,0.017458964
1,80,MeOH,2,1,2,0.030054411,
1,80,MeOH,24,1,1,0.215365354,0.214939859
1,80,MeOH,24,1,2,0.214514364,
1,80,MeOH,48,1,1,0.026955935,0.025739679
1,80,MeOH,48,1,2,0.024523424,
1,80,MeOH,72,1,1,0.003949402,0.002384943
1,80,MeOH,72,1,2,0.000820484,
1,80,3,0,1,1,0.006834336,-0.013258611
1,80,3,0,1,2,-0.033351558,
1,80,3,0.3,1,1,0.513309293,0.494488988
1,80,3,0.3,1,2,0.475668682,
1,80,3,2,1,1,0.53335951,0.509047149
1,80,3,2,1,2,0.484734787,
1,80,3,24,1,1,0.413450376,0.407251711
1,80,3,24,1,2,0.401053046,
1,80,3,48,1,1,0.405920885,0.398334342
1,80,3,48,1,2,0.390747799,
1,80,3,72,1,1,0.376339772,0.374351305
1,80,3,72,1,2,0.372362838,
1,80,1,0,1,1,-0.023510115,-0.015954676
1,80,1,0,1,2,-0.008399237,
1,80,1,0.3,1,1,0.211117395,0.187781759
1,80,1,0.3,1,2,0.164446123,
1,80,1,2,1,1,0.214858859,0.196216542
1,80,1,2,1,2,0.177574225,
1,80,1,24,1,1,0.376208008,0.378559717
1,80,1,24,1,2,0.380911426,
1,80,1,48,1,1,0.249926153,0.252091923
1,80,1,48,1,2,0.254257693,
1,80,1,72,1,1,0.275614024,0.282655945
1,80,1,72,1,2,0.289697866,
1,80,0.33,0,1,1,-0.010910085,-0.01623953
1,80,0.33,0,1,2,-0.021568975,
1,80,0.33,0.3,1,1,0.056099181,0.039658249
1,80,0.33,0.3,1,2,0.023217317,
1,80,0.33,2,1,1,0.051056098,0.038314001
1,80,0.33,2,1,2,0.025571904,
1,80,0.33,24,1,1,0.387403622,0.393328945
1,80,0.33,24,1,2,0.399254268,
1,80,0.33,48,1,1,0.150722562,0.142750773
1,80,0.33,48,1,2,0.134778983,
1,80,0.33,72,1,1,0.173837008,0.173843959
1,80,0.33,72,1,2,0.17385091,
1,80,0.11,0,1,1,-0.002581298,-0.014873403
1,80,0.11,0,1,2,-0.027165508,
1,80,0.11,0.3,1,1,0.060813694,0.021100034
1,80,0.11,0.3,1,2,-0.018613626,
1,80,0.11,2,1,1,0.029405983,0.014660171
1,80,0.11,2,1,2,-8.56E-05,
1,80,0.11,24,1,1,0.328673067,0.330342215
1,80,0.11,24,1,2,0.332011363,
1,80,0.11,48,1,1,0.061265642,0.080974
1,80,0.11,48,1,2,0.100682358,
1,80,0.11,72,1,1,0.056100425,0.061959746
1,80,0.11,72,1,2,0.067819066,
1,20,Control,0,1,1,-0.002747795,-1.11E-16
1,20,Control,0,1,2,0.003092798,
1,20,Control,0.3,1,1,-0.003092798,1.67E-16
1,20,Control,0.3,1,2,0.003092798,
1,20,Control,2,1,1,-0.005963971,-1.11E-16
1,20,Control,2,1,2,0.005963971,
1,20,Control,24,1,1,0.00250615,-5.55E-17
1,20,Control,24,1,2,-0.00250615,
1,20,Control,48,1,1,0.008776542,0
1,20,Control,48,1,2,-0.008776542,
1,20,Control,72,1,1,0.018538065,
1,20,Control,72,1,2,-0.018538065,
1,20,MeOH,0,1,1,0.017789151,0.008002496
1,20,MeOH,0,1,2,-0.001784159,
1,20,MeOH,0.3,1,1,0.024943226,0.006869583
1,20,MeOH,0.3,1,2,-0.01120406,
1,20,MeOH,2,1,1,0.016941343,0.018788205
1,20,MeOH,2,1,2,0.020635068,
1,20,MeOH,24,1,1,-0.141274113,-0.145807436
1,20,MeOH,24,1,2,-0.150340759,
1,20,MeOH,48,1,1,-0.02955961,-0.033995722
1,20,MeOH,48,1,2,-0.038431834,
1,20,MeOH,72,1,1,0.024997626,0.004454862
1,20,MeOH,72,1,2,-0.016087901,
1,20,3,0,1,1,0.002031505,-0.00959398
1,20,3,0,1,2,-0.021219464,
1,20,3,0.3,1,1,0.480195469,0.501288098
1,20,3,0.3,1,2,0.522380727,
1,20,3,2,1,1,0.496436997,0.523698188
1,20,3,2,1,2,0.55095938,
1,20,3,24,1,1,0.407716771,0.407361429
1,20,3,24,1,2,0.407006088,
1,20,3,48,1,1,0.336100052,0.337134295
1,20,3,48,1,2,0.338168537,
1,20,3,72,1,1,0.390186345,0.390668671
1,20,3,72,1,2,0.391150998,
1,20,1,0,1,1,0.000848267,-0.007332253
1,20,1,0,1,2,-0.015512773,
1,20,1,0.3,1,1,0.172459333,0.162440205
1,20,1,0.3,1,2,0.152421078,
1,20,1,2,1,1,0.184682608,0.173758441
1,20,1,2,1,2,0.162834275,
1,20,1,24,1,1,0.043854436,0.042439302
1,20,1,24,1,2,0.041024167,
1,20,1,48,1,1,0.191905552,0.184856643
1,20,1,48,1,2,0.177807733,
1,20,1,72,1,1,0.249539639,0.246648757
1,20,1,72,1,2,0.243757875,
1,20,0.33,0,1,1,0.001380863,-1.38E-05
1,20,0.33,0,1,2,-0.001408429,
1,20,0.33,0.3,1,1,0.041459329,0.048654186
1,20,0.33,0.3,1,2,0.055849043,
1,20,0.33,2,1,1,0.065063095,0.060729843
1,20,0.33,2,1,2,0.056396591,
1,20,0.33,24,1,1,0.056305284,0.044690727
1,20,0.33,24,1,2,0.03307617,
1,20,0.33,48,1,1,0.066746953,0.046904162
1,20,0.33,48,1,2,0.02706137,
1,20,0.33,72,1,1,0.169792227,0.16805932
1,20,0.33,72,1,2,0.166326413,
1,20,0.11,0,1,1,-0.013473879,-0.002811106
1,20,0.11,0,1,2,0.007851667,
1,20,0.11,0.3,1,1,0.018507277,0.010800037
1,20,0.11,0.3,1,2,0.003092798,
1,20,0.11,2,1,1,0.023882299,0.027091276
1,20,0.11,2,1,2,0.030300253,
1,20,0.11,24,1,1,-0.151267931,-0.15837239
1,20,0.11,24,1,2,-0.165476849,
1,20,0.11,48,1,1,-0.022445016,-0.031363291
1,20,0.11,48,1,2,-0.040281566,
1,20,0.11,72,1,1,0.121325209,0.097380254
1,20,0.11,72,1,2,0.073435299,
1,5,Control,0,1,1,-0.010099149,5.55E-17
1,5,Control,0,1,2,0.010099149,
1,5,Control,0.3,1,1,-0.00999409,5.55E-17
1,5,Control,0.3,1,2,0.00999409,
1,5,Control,2,1,1,-0.003956373,1.11E-16
1,5,Control,2,1,2,0.003956373,
1,5,Control,24,1,1,-0.014397429,-5.55E-17
1,5,Control,24,1,2,0.014397429,
1,5,Control,48,1,1,0.00028001,-5.55E-17
1,5,Control,48,1,2,-0.00028001,
1,5,Control,72,1,1,-0.000531939,-5.55E-17
1,5,Control,72,1,2,0.000531939,
1,5,MeOH,0,1,1,-0.034836271,-0.013320912
1,5,MeOH,0,1,2,0.008194447,
1,5,MeOH,0.3,1,1,-0.007866544,-0.005180638
1,5,MeOH,0.3,1,2,-0.002494733,
1,5,MeOH,2,1,1,-0.005807115,0.001922939
1,5,MeOH,2,1,2,0.009652993,
1,5,MeOH,24,1,1,-0.002573617,-0.006412376
1,5,MeOH,24,1,2,-0.010251135,
1,5,MeOH,48,1,1,0.014872454,0.007376008
1,5,MeOH,48,1,2,-0.000120437,
1,5,MeOH,72,1,1,0.043860651,0.040463597
1,5,MeOH,72,1,2,0.037066542,
1,5,3,0,1,1,0.036183611,0.074453323
1,5,3,0,1,2,0.112723035,
1,5,3,0.3,1,1,0.543500228,0.547390613
1,5,3,0.3,1,2,0.551280998,
1,5,3,2,1,1,0.555000576,0.562244752
1,5,3,2,1,2,0.569488929,
1,5,3,24,1,1,0.455628515,0.444915502
1,5,3,24,1,2,0.43420249,
1,5,3,48,1,1,0.42380218,0.42070614
1,5,3,48,1,2,0.4176101,
1,5,3,72,1,1,0.390447076,0.379097072
1,5,3,72,1,2,0.367747069,
1,5,1,0,1,1,0.002066217,0.056820884
1,5,1,0,1,2,0.11157555,
1,5,1,0.3,1,1,0.251221177,0.25296313
1,5,1,0.3,1,2,0.254705082,
1,5,1,2,1,1,0.233276386,0.254416777
1,5,1,2,1,2,0.275557168,
1,5,1,24,1,1,0.130413321,0.130086152
1,5,1,24,1,2,0.129758983,
1,5,1,48,1,1,0.119204608,0.118829667
1,5,1,48,1,2,0.118454727,
1,5,1,72,1,1,0.069809099,0.066407748
1,5,1,72,1,2,0.063006398,
1,5,0.33,0,1,1,0.037581278,0.086262884
1,5,0.33,0,1,2,0.13494449,
1,5,0.33,0.3,1,1,0.139462542,0.163862958
1,5,0.33,0.3,1,2,0.188263374,
1,5,0.33,2,1,1,0.124959115,0.154032247
1,5,0.33,2,1,2,0.183105379,
1,5,0.33,24,1,1,0.022751509,0.018406917
1,5,0.33,24,1,2,0.014062326,
1,5,0.33,48,1,1,0.020960908,0.02314703
1,5,0.33,48,1,2,0.025333153,
1,5,0.33,72,1,1,0.124441277,0.119747243
1,5,0.33,72,1,2,0.115053208,
1,5,0.11,0,1,1,0.046945965,0.091547786
1,5,0.11,0,1,2,0.136149607,
1,5,0.11,0.3,1,1,0.081543413,0.130873159
1,5,0.11,0.3,1,2,0.180202906,
1,5,0.11,2,1,1,0.083621205,0.109466585
1,5,0.11,2,1,2,0.135311965,
1,5,0.11,24,1,1,-0.022855978,-0.014288726
1,5,0.11,24,1,2,-0.005721473,
1,5,0.11,48,1,1,-0.021483186,-0.021617987
1,5,0.11,48,1,2,-0.021752787,
1,5,0.11,72,1,1,-0.025006635,-0.028554585
1,5,0.11,72,1,2,-0.032102536,
2,80,Control,0,1,1,-0.027108503,0
2,80,Control,0,1,2,0.027108503,
2,80,Control,0.3,1,1,-0.024202785,0
2,80,Control,0.3,1,2,0.024202785,
2,80,Control,2,1,1,-0.010220023,-1.11E-16
2,80,Control,2,1,2,0.010220023,
2,80,Control,24,1,1,-0.008076981,0
2,80,Control,24,1,2,0.008076981,
2,80,Control,48,1,1,-0.017939721,5.55E-17
2,80,Control,48,1,2,0.017939721,
2,80,Control,72,1,1,-0.002318998,0
2,80,Control,72,1,2,0.002318998,
2,80,MeOH,0,1,1,0.013998983,0.016104263
2,80,MeOH,0,1,2,0.018209542,
2,80,MeOH,0.3,1,1,-0.005939392,0.037055832
2,80,MeOH,0.3,1,2,0.080051056,
2,80,MeOH,2,1,1,-0.014050684,0.017122665
2,80,MeOH,2,1,2,0.048296013,
