Block,Light (u mol photons m/s/),Diuron (ug/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
1,80,Control,0,1,1,0.011,0.026,0.576923077,0.558302808,-0.03,0
1,80,Control,0,1,2,0.0116,0.0252,0.53968254,NA,0.03,NA
1,80,Control,0.3,1,1,0.0129,0.0285,0.547368421,0.532698191,-0.03,0
1,80,Control,0.3,1,2,0.0131,0.02718,0.518027962,NA,0.03,NA
1,80,Control,2,1,1,0.0094,0.02198,0.57233849,0.55558672,-0.03,0
1,80,Control,2,1,2,0.0095,0.0206,0.538834951,NA,0.03,NA
1,80,Control,24,1,1,0.0534,0.0907,0.411245865,0.407377319,-0.01,0
1,80,Control,24,1,2,0.051,0.0855,0.403508772,NA,0.01,NA
1,80,Control,48,1,1,0.0981,0.1485,0.339393939,0.343132389,0.01,0
1,80,Control,48,1,2,0.0981,0.1502,0.346870839,NA,-0.01,NA
1,80,Control,72,1,1,0.08324,0.13354,0.376666167,0.377834315,0,0
1,80,Control,72,1,2,0.08068,0.12992,0.379002463,NA,0,NA
1,80,MeOH,0,1,1,0.0089,0.021,0.576190476,NA,-0.03,-0.01
1,80,MeOH,0,1,2,0.0085,0.0188,0.54787234,NA,0.02,NA
1,80,MeOH,0.3,1,1,0.0097,0.0214,0.546728972,NA,-0.03,-0.01
1,80,MeOH,0.3,1,2,0.0108,0.02272,0.524647887,NA,0.02,NA
1,80,MeOH,2,1,1,0.0093,0.0208,0.552884615,NA,0,0.02
1,80,MeOH,2,1,2,0.0083,0.018,0.538888889,NA,0.03,NA
1,80,MeOH,24,1,1,0.0487,0.07158,0.319642358,NA,0.22,0.21
1,80,MeOH,24,1,2,0.0496,0.07294,0.319989032,NA,0.21,NA
1,80,MeOH,48,1,1,0.0808,0.1213,0.333882935,NA,0.03,0.03
1,80,MeOH,48,1,2,0.0801,0.1204,0.334717608,NA,0.02,NA
1,80,MeOH,72,1,1,0.06738,0.10804,0.376342096,NA,0,0
1,80,MeOH,72,1,2,0.06658,0.10696,0.377524308,NA,0,NA
1,80,3,0,1,1,0.0139,0.0312,0.554487179,NA,0.01,-0.01
1,80,3,0,1,2,0.011,0.026,0.576923077,NA,-0.03,NA
1,80,3,0.3,1,1,0.026,0.0351,0.259259259,NA,0.51,0.49
1,80,3,0.3,1,2,0.0209,0.029,0.279310345,NA,0.48,NA
1,80,3,2,1,1,0.0244,0.03294,0.259259259,NA,0.53,0.51
1,80,3,2,1,2,0.0182,0.0255,0.28627451,NA,0.48,NA
1,80,3,24,1,1,0.0902,0.11852,0.238947013,NA,0.41,0.41
1,80,3,24,1,2,0.0699,0.09246,0.243997404,NA,0.4,NA
1,80,3,48,1,1,0.11256,0.14138,0.203847786,NA,0.41,0.4
1,80,3,48,1,2,0.09784,0.1237,0.209054163,NA,0.39,NA
1,80,3,72,1,1,0.10912,0.14276,0.235640235,NA,0.38,0.37
1,80,3,72,1,2,0.09078,0.119,0.237142857,NA,0.37,NA
1,80,1,0,1,1,0.0099,0.0231,0.571428571,NA,-0.02,-0.02
1,80,1,0,1,2,0.0111,0.0254,0.562992126,NA,-0.01,NA
1,80,1,0.3,1,1,0.0157,0.02708,0.420236337,NA,0.21,0.19
1,80,1,0.3,1,2,0.01698,0.0306,0.445098039,NA,0.16,NA
1,80,1,2,1,1,0.0137,0.0243,0.436213992,NA,0.21,0.2
1,80,1,2,1,2,0.0145,0.0267,0.456928839,NA,0.18,NA
1,80,1,24,1,1,0.0661,0.08862,0.254118709,NA,0.38,0.38
1,80,1,24,1,2,0.0679,0.0908,0.252202643,NA,0.38,NA
1,80,1,48,1,1,0.1007,0.1356,0.257374631,NA,0.25,0.25
1,80,1,48,1,2,0.10236,0.13756,0.25588834,NA,0.25,NA
1,80,1,72,1,1,0.10068,0.13862,0.273697879,NA,0.28,0.28
1,80,1,72,1,2,0.11068,0.15128,0.26837652,NA,0.29,NA
1,80,0.33,0,1,1,0.0115,0.0264,0.564393939,NA,-0.01,-0.02
1,80,0.33,0,1,2,0.01246,0.029,0.570344828,NA,-0.02,NA
1,80,0.33,0.3,1,1,0.0159,0.03198,0.502814259,NA,0.06,0.04
1,80,0.33,0.3,1,2,0.0151,0.03148,0.520330368,NA,0.02,NA
1,80,0.33,2,1,1,0.0132,0.02792,0.52722063,NA,0.05,0.04
1,80,0.33,2,1,2,0.0133,0.029,0.54137931,NA,0.03,NA
1,80,0.33,24,1,1,0.07638,0.10178,0.24955787,NA,0.39,0.39
1,80,0.33,24,1,2,0.07166,0.09488,0.244730185,NA,0.4,NA
1,80,0.33,48,1,1,0.1101,0.15538,0.291414596,NA,0.15,0.14
1,80,0.33,48,1,2,0.1061,0.1509,0.296885355,NA,0.13,NA
1,80,0.33,72,1,1,0.09656,0.14038,0.312152728,NA,0.17,0.17
